path,result_root,model,split,seed,recorder_id,best_epoch,valid_best_ICIR,IC_mean,IC_std,ICIR,RankIC_mean,RankIC_std,RankICIR,annual_return,annual_vol,sharpe,max_drawdown,turnover,n_days
tables/fdg_gpu_debug_norm/fdg_skip32_csi300_official_seed2026.json,fdg_gpu_debug_norm,fdg_skip32,official,2026,,9,0.5762702020122605,0.05985404131201364,0.11003361364776429,0.5439614253115078,0.049777835449409294,,0.4462622240588173,0.5995743912867024,0.25730110128740186,1.9564042721004467,-0.20381140156705058,0.6314121699196329,
tables/fdg_transpose_top10_20260429/fdg_skip32_transposeB_csi300_recent_seed17.json,fdg_transpose_top10_20260429,fdg_skip32_transposeB,recent,17,,8,0.31145764166916895,0.03794728376199703,0.1316714421098911,0.28819676578256637,0.019619669142751425,,0.14482785542545648,0.2585714186037851,0.25930849882774654,1.0168139451576097,-0.33833734984289865,0.5743937708565074,
tables/fdg_transpose_top10_20260429/fdg_skip32_transposeB_csi300_recent_seed23.json,fdg_transpose_top10_20260429,fdg_skip32_transposeB,recent,23,,6,0.35332380650369305,0.043387542054673385,0.12496905072978813,0.3471862977377274,0.012100504037111163,,0.09295026240079761,0.23008719885250994,0.25022065750898825,0.9528022839101645,-0.3721002293615959,0.6407563959955508,
tables/fdg_transpose_top10_20260429/fdg_skip32_transposeB_csi300_recent_seed25.json,fdg_transpose_top10_20260429,fdg_skip32_transposeB,recent,25,,8,0.3790072255160564,0.04254668011414519,0.11873090113866008,0.35834546614328294,0.022393526010891382,,0.22166835900163473,0.26060525569708815,0.23411946319150528,1.106518565631464,-0.2986133045742091,0.6581312569521695,
tables/fdg_transpose_top10_20260429/fdg_skip32_transposeB_csi300_recent_seed37.json,fdg_transpose_top10_20260429,fdg_skip32_transposeB,recent,37,,11,0.3651201270979245,0.04174341362105745,0.1173899462322011,0.3555961558964141,0.023549152198283792,,0.1825025739592126,0.2844524840341678,0.23163920678342992,1.19687383168497,-0.2169417094216869,0.6654060066740826,
tables/fdg_transpose_top10_20260429/fdg_skip32_transposeB_csi300_recent_seed40.json,fdg_transpose_top10_20260429,fdg_skip32_transposeB,recent,40,,5,0.3564818365485293,0.04321551406892831,0.10750982949665579,0.40196802721441,0.013498228591068131,,0.11889346700624912,0.26049884540631685,0.23100537021051634,1.1177244062246512,-0.30775410795329183,0.6238042269187989,
tables/fdg_transpose_top10_20260429/fdg_skip32_transposeB_csi300_recent_seed49.json,fdg_transpose_top10_20260429,fdg_skip32_transposeB,recent,49,,6,0.37895114265315794,0.04171052835331881,0.11486846583072564,0.36311556920055815,0.024147954021557335,,0.21181092692108885,0.32796172950620117,0.24292645738995877,1.289437629083657,-0.29272501251304917,0.650589543937709,
tables/fdg_transpose_top10_20260429/fdg_skip32_transposeB_csi300_recent_seed5.json,fdg_transpose_top10_20260429,fdg_skip32_transposeB,recent,5,,5,0.4109027190838521,0.04306072827927453,0.10862675004391029,0.3964099842982327,0.01980834797382377,,0.17249412523518895,0.26286904374230513,0.21793648151272144,1.1800486818787512,-0.23231772891053826,0.6254505005561739,
tables/fdg_transpose_top10_20260429/fdg_skip32_transposeB_csi300_recent_seed512.json,fdg_transpose_top10_20260429,fdg_skip32_transposeB,recent,512,,16,0.38422265003113976,0.04392615134496936,0.11981746091513015,0.3666089316988899,0.025322333855521056,,0.23987870854405965,0.25947335536164196,0.23807423382899479,1.0882972413927863,-0.3073802727070801,0.6364849833147945,
tables/fdg_transpose_top10_20260429/fdg_skip32_transposeB_csi300_recent_seed55.json,fdg_transpose_top10_20260429,fdg_skip32_transposeB,recent,55,,6,0.32650355289431904,0.04226207756992837,0.1187067244273562,0.35602092277250125,0.016066738876863804,,0.1363929948022196,0.23463439975553446,0.23956463279488527,0.9996411772908038,-0.35285403413569916,0.6444493882091217,
