seed,B_fro,sym_fro,asym_fro,asym_over_B_fro,asym_over_sym_fro,max_abs_asym,mean_abs_asym_upper,diag_mean,diag_abs_mean,anti_diag_abs_mean
512,5.885290596943117,5.763477566966511,1.191206004661182,0.20240393996515776,0.20668181507092237,0.17320800572633743,0.028713255130777462,0.9971779137849808,0.9971779137849808,0.033623959028318495
23,5.794021041968812,5.749128762710447,0.7198599200905736,0.1242418546422753,0.1252120016444358,0.09116515517234802,0.01808507998212448,1.0049832332879305,1.0049832332879305,0.02903382366275764
37,5.960703063595395,5.866194865539438,1.0572316736998957,0.17736694185571314,0.18022443814652855,0.13156216777861118,0.026259053826102503,1.0153901744633913,1.0153901744633913,0.026869351349887438
5,5.782721464383846,5.747025344232182,0.6415350554713349,0.11093998896930982,0.1116290632187991,0.06472802069038153,0.01636498231272849,1.0085043497383595,1.0085043497383595,0.028115690309277852
40,5.814692990230396,5.7704157220894565,0.716210140180467,0.12317247727159686,0.12411759822412391,0.066561970859766,0.01815360850566923,1.0126055423170328,1.0126055423170328,0.024828818925016094
55,5.854997012048079,5.798841405223607,0.8089674703943497,0.13816701677724216,0.13950501727217962,0.09117630124092102,0.020664921082277764,1.0128936041146517,1.0128936041146517,0.030477693799312533
25,5.822868956263945,5.759336176573823,0.8578168143784399,0.14731858484564458,0.14894369560638276,0.07323362864553928,0.021724155448000163,1.0073047280311584,1.0073047280311584,0.02750510048645083
49,5.856745174213435,5.80121480662921,0.804593563868346,0.13737896048659887,0.13869397887989157,0.08035545822349377,0.0201999544991659,1.013177715241909,1.013177715241909,0.02479921437043231
17,5.869638432549378,5.805712271459602,0.8639214952089707,0.14718478917171413,0.14880542727822335,0.10509446449577808,0.02166521708049033,1.0128688048571348,1.0128688048571348,0.031645200371713145
79,5.833671383862146,5.793334131346668,0.6848368108285658,0.1173937929933883,0.11821117085635359,0.07238293811678886,0.017458929509412854,1.0141979437321424,1.0141979437321424,0.029915915178207797
