seed,source_factor,receiver_factor,B_ij,B_ji,antisym_ij,abs_antisym
512,4,9,-0.20065708458423615,0.14575892686843872,-0.17320800572633743,0.17320800572633743
512,4,6,-0.2613988518714905,0.019693858921527863,-0.14054635539650917,0.14054635539650917
512,4,21,-0.2597537040710449,0.012890530750155449,-0.13632211741060019,0.13632211741060019
512,3,4,0.04503602907061577,-0.2176249921321869,0.13133051060140133,0.13133051060140133
512,4,18,-0.15351738035678864,0.06655288487672806,-0.11003513261675835,0.11003513261675835
512,1,3,0.056154754012823105,-0.15398001670837402,0.10506738536059856,0.10506738536059856
512,1,7,0.05768963322043419,-0.14721333980560303,0.10245148651301861,0.10245148651301861
512,1,4,-0.011884205043315887,-0.21222440898418427,0.10017010197043419,0.10017010197043419
512,3,19,-0.10855277627706528,0.08767542243003845,-0.09811409935355186,0.09811409935355186
512,7,19,-0.1422060877084732,0.04134828969836235,-0.09177718870341778,0.09177718870341778
512,22,28,-0.12702247500419617,0.0557561032474041,-0.09138928912580013,0.09138928912580013
512,1,18,0.019178422167897224,-0.15928487479686737,0.0892316484823823,0.0892316484823823
512,0,7,0.03579774126410484,-0.1419924646615982,0.08889510296285152,0.08889510296285152
512,7,29,-0.086638905107975,0.08731750398874283,-0.08697820454835892,0.08697820454835892
512,4,8,-0.1320020705461502,0.027028704062104225,-0.07951538730412722,0.07951538730412722
512,5,17,0.1176002249121666,-0.04006000980734825,0.07883011735975742,0.07883011735975742
512,6,16,-0.06132826954126358,0.09596104919910431,-0.07864465937018394,0.07864465937018394
512,4,20,-0.09335395693778992,0.06384701281785965,-0.07860048487782478,0.07860048487782478
512,4,5,-0.15604721009731293,0.00036887184251099825,-0.07820804096991196,0.07820804096991196
512,3,21,-0.11589442938566208,0.039529502391815186,-0.07771196588873863,0.07771196588873863
512,7,21,-0.09881962090730667,0.05633632093667984,-0.07757797092199326,0.07757797092199326
512,16,24,0.02840462140738964,-0.12589550018310547,0.07715006079524755,0.07715006079524755
512,4,31,-0.13266901671886444,0.01704072766005993,-0.07485487218946218,0.07485487218946218
512,4,26,-0.13551682233810425,0.014113332144916058,-0.07481507724151015,0.07481507724151015
512,0,23,0.04453189671039581,-0.10489269345998764,0.07471229508519173,0.07471229508519173
512,25,28,-0.04081583395600319,-0.18811045587062836,0.07364731095731258,0.07364731095731258
512,19,21,0.11438318341970444,-0.03275769576430321,0.07357043959200382,0.07357043959200382
512,3,16,-0.10947290807962418,0.036852724850177765,-0.07316281646490097,0.07316281646490097
512,15,19,0.0683453232049942,-0.07735612243413925,0.07285072281956673,0.07285072281956673
512,25,30,0.07865353673696518,-0.06585414707660675,0.07225384190678596,0.07225384190678596
512,7,20,-0.04847714304924011,0.09365499019622803,-0.07106606662273407,0.07106606662273407
512,1,6,0.0901612937450409,-0.051761455833911896,0.0709613747894764,0.0709613747894764
23,21,31,-0.039765194058418274,0.14256511628627777,-0.09116515517234802,0.09116515517234802
23,0,11,0.08317483961582184,-0.05606621876358986,0.06962052918970585,0.06962052918970585
23,0,14,0.09177979826927185,-0.04381060227751732,0.06779520027339458,0.06779520027339458
23,11,13,-0.08176759630441666,0.04968485236167908,-0.06572622433304787,0.06572622433304787
23,0,24,0.1161208301782608,-0.013047954067587852,0.06458439212292433,0.06458439212292433
23,1,29,-0.03371642529964447,0.09499531984329224,-0.06435587257146835,0.06435587257146835
23,12,25,0.09480912983417511,-0.029234753921628,0.062021941877901554,0.062021941877901554
23,22,26,0.048343028873205185,-0.0670541450381279,0.05769858695566654,0.05769858695566654
23,13,25,0.06295306980609894,-0.05029517784714699,0.05662412382662296,0.05662412382662296
23,8,12,-0.12793467938899994,-0.01890595629811287,-0.054514361545443535,0.054514361545443535
23,10,12,-0.03972304239869118,0.06663274765014648,-0.05317789502441883,0.05317789502441883
23,24,26,0.0037999222986400127,0.10945062339305878,-0.05282535054720938,0.05282535054720938
23,19,24,-0.003962965682148933,-0.10858318954706192,0.05231011193245649,0.05231011193245649
23,11,27,-0.03283679857850075,0.07098592817783356,-0.05191136337816715,0.05191136337816715
23,23,31,-0.028034023940563202,0.07320043444633484,-0.05061722919344902,0.05061722919344902
23,3,27,-0.09042290598154068,0.01061794813722372,-0.0505204270593822,0.0505204270593822
23,21,30,-0.005380401853471994,0.09550298005342484,-0.050441690953448415,0.050441690953448415
23,6,31,-0.0242791585624218,0.07586092501878738,-0.05007004179060459,0.05007004179060459
23,7,24,0.12162855267524719,0.022448822855949402,0.049589864909648895,0.049589864909648895
23,24,30,-0.08428246527910233,0.014574654400348663,-0.049428559839725494,0.049428559839725494
23,27,29,0.03087742067873478,-0.06694494932889938,0.04891118500381708,0.04891118500381708
23,6,25,0.1088637188076973,0.01331279519945383,0.04777546180412173,0.04777546180412173
23,12,24,0.06850689649581909,-0.026362961158156395,0.04743492882698774,0.04743492882698774
23,14,24,0.06233332306146622,-0.029616704210639,0.04597501363605261,0.04597501363605261
23,28,31,-0.010055365040898323,0.08056797832250595,-0.04531167168170214,0.04531167168170214
23,13,24,0.04112030565738678,-0.04874904453754425,0.044934675097465515,0.044934675097465515
23,11,26,-0.02054045908153057,0.06914667040109634,-0.04484356474131346,0.04484356474131346
23,8,10,-0.04069305211305618,0.047937389463186264,-0.04431522078812122,0.04431522078812122
23,13,27,-0.07825621217489243,0.009715922176837921,-0.04398606717586517,0.04398606717586517
23,8,26,-0.035106025636196136,0.05135159194469452,-0.04322880879044533,0.04322880879044533
23,10,19,-0.05111338570713997,0.035231322050094604,-0.04317235387861729,0.04317235387861729
23,16,26,-0.0406615324318409,0.04291319474577904,-0.04178736358880997,0.04178736358880997
37,4,26,0.20760048925876617,-0.05552384629845619,0.13156216777861118,0.13156216777861118
37,9,28,-0.1621967852115631,0.03887345641851425,-0.10053512081503868,0.10053512081503868
37,8,9,0.030348848551511765,-0.16153492033481598,0.09594188444316387,0.09594188444316387
37,25,28,0.1144023984670639,-0.07646991312503815,0.09543615579605103,0.09543615579605103
37,0,29,0.09831889718770981,-0.08930828422307968,0.09381359070539474,0.09381359070539474
37,15,21,0.09070411324501038,-0.0947432741522789,0.09272369369864464,0.09272369369864464
37,1,21,0.1333111673593521,-0.0484279990196228,0.09086958318948746,0.09086958318948746
37,4,28,0.18566161394119263,0.011219031177461147,0.08722129138186574,0.08722129138186574
37,15,24,-0.1129886582493782,0.059523120522499084,-0.08625588938593864,0.08625588938593864
37,21,22,0.00283540366217494,-0.1679736077785492,0.08540450572036207,0.08540450572036207
37,1,3,-0.05164976418018341,0.11909511685371399,-0.0853724405169487,0.0853724405169487
37,1,8,-0.07968243211507797,0.08898791670799255,-0.08433517441153526,0.08433517441153526
37,1,17,-0.0669071227312088,0.0925062969326973,-0.07970670983195305,0.07970670983195305
37,2,22,-0.06276802718639374,0.09381675720214844,-0.07829239219427109,0.07829239219427109
37,16,22,-0.03070029616355896,0.1252303421497345,-0.07796531915664673,0.07796531915664673
37,16,25,0.046643685549497604,-0.10126148164272308,0.07395258359611034,0.07395258359611034
37,27,28,-0.09112085402011871,0.05603758618235588,-0.0735792201012373,0.0735792201012373
37,7,29,0.08958934992551804,-0.05440015345811844,0.07199475169181824,0.07199475169181824
37,1,9,0.0842677429318428,-0.059647057205438614,0.07195740006864071,0.07195740006864071
37,7,9,-0.06281738728284836,0.08008375018835068,-0.07145056873559952,0.07145056873559952
37,6,30,-0.07192794978618622,0.06763850897550583,-0.06978322938084602,0.06978322938084602
37,13,21,-0.13596396148204803,0.0025193565525114536,-0.06924165901727974,0.06924165901727974
37,19,28,0.0897417962551117,-0.0480913445353508,0.06891657039523125,0.06891657039523125
37,9,19,0.056278638541698456,-0.07950231432914734,0.0678904764354229,0.0678904764354229
37,19,29,0.008933315984904766,-0.12607735395431519,0.06750533496960998,0.06750533496960998
37,15,31,-0.141672745347023,-0.007770420517772436,-0.06695116241462529,0.06695116241462529
37,15,23,0.06289387494325638,-0.06992782652378082,0.0664108507335186,0.0664108507335186
37,6,13,-0.03871799260377884,0.0939042717218399,-0.06631113216280937,0.06631113216280937
37,26,31,-0.06845846772193909,0.06071336194872856,-0.06458591483533382,0.06458591483533382
37,6,19,-0.10647934675216675,0.022283043712377548,-0.06438119523227215,0.06438119523227215
37,25,27,0.1325577199459076,0.004405489657074213,0.06407611514441669,0.06407611514441669
37,7,12,0.050694651901721954,-0.07713218033313751,0.06391341611742973,0.06391341611742973
5,2,24,-0.016701770946383476,0.11275427043437958,-0.06472802069038153,0.06472802069038153
5,27,31,0.04799934849143028,-0.07641415297985077,0.062206750735640526,0.062206750735640526
5,2,19,-0.06357363611459732,0.05547993630170822,-0.05952678620815277,0.05952678620815277
5,1,19,-0.03246968239545822,0.0839136615395546,-0.05819167196750641,0.05819167196750641
5,1,6,-0.02344035916030407,0.08669204264879227,-0.05506620090454817,0.05506620090454817
5,2,21,0.0013072103029116988,-0.10310810804367065,0.05220765917329118,0.05220765917329118
5,15,25,0.057504456490278244,-0.04597398638725281,0.051739221438765526,0.051739221438765526
5,21,27,-0.05124826356768608,0.04575784131884575,-0.048503052443265915,0.048503052443265915
5,6,12,0.06412176787853241,-0.032407019287347794,0.0482643935829401,0.0482643935829401
5,8,9,-0.00849901419132948,0.08367446064949036,-0.04608673742040992,0.04608673742040992
5,17,25,0.04830086976289749,-0.04000291973352432,0.04415189474821091,0.04415189474821091
5,1,5,-0.020470157265663147,0.0675479918718338,-0.044009074568748474,0.044009074568748474
5,18,22,0.038746289908885956,-0.048870597034692764,0.04380844347178936,0.04380844347178936
5,2,16,0.056363631039857864,-0.028922008350491524,0.042642819695174694,0.042642819695174694
5,2,15,-0.042372800409793854,0.04109770059585571,-0.04173525050282478,0.04173525050282478
5,11,21,0.07942696660757065,-0.0036514876410365105,0.04153922712430358,0.04153922712430358
5,19,25,0.0501832589507103,-0.032017894089221954,0.041100576519966125,0.041100576519966125
5,8,19,0.002094399183988571,0.08294185996055603,-0.04042373038828373,0.04042373038828373
5,17,22,0.04295269399881363,-0.03758100047707558,0.0402668472379446,0.0402668472379446
5,8,16,-0.002192732412368059,0.0776187926530838,-0.03990576253272593,0.03990576253272593
5,3,6,-0.03208604454994202,0.04680463299155235,-0.039445338770747185,0.039445338770747185
5,0,17,-0.04661812633275986,0.031249260529875755,-0.038933693431317806,0.038933693431317806
5,10,24,0.06062677130103111,-0.017025956884026527,0.03882636409252882,0.03882636409252882
5,15,30,0.04656180366873741,-0.031004102900624275,0.03878295328468084,0.03878295328468084
5,20,26,-0.0628577321767807,0.014461049810051918,-0.03865939099341631,0.03865939099341631
5,16,27,-0.042238254100084305,0.03484196215867996,-0.038540108129382133,0.038540108129382133
5,3,21,0.0790763571858406,0.0024141750764101744,0.038331091054715216,0.038331091054715216
5,3,18,0.1087866872549057,0.03237738832831383,0.03820464946329594,0.03820464946329594
5,2,6,-0.030823001638054848,0.04529794678092003,-0.03806047420948744,0.03806047420948744
5,1,10,-0.025570129975676537,0.0502772182226181,-0.03792367409914732,0.03792367409914732
5,12,27,-0.015695346519351006,0.05995381250977516,-0.037824579514563084,0.037824579514563084
5,15,23,0.004968115594238043,0.08044396340847015,-0.037737923907116055,0.037737923907116055
40,7,17,-0.0721401497721672,0.06098379194736481,-0.066561970859766,0.066561970859766
40,13,17,-0.010671960189938545,0.12174191325902939,-0.06620693672448397,0.06620693672448397
40,0,5,0.06923529505729675,-0.05859929323196411,0.06391729414463043,0.06391729414463043
40,5,17,0.02617466449737549,0.14390692114830017,-0.05886612832546234,0.05886612832546234
40,8,31,0.09219376742839813,-0.025078419595956802,0.05863609351217747,0.05863609351217747
40,14,31,0.05611558258533478,-0.05976400524377823,0.0579397939145565,0.0579397939145565
40,2,8,-0.01886243186891079,0.0953264981508255,-0.057094465009868145,0.057094465009868145
40,8,23,0.05566200241446495,-0.05521007627248764,0.055436039343476295,0.055436039343476295
40,1,7,0.07041382044553757,-0.038656529039144516,0.05453517474234104,0.05453517474234104
40,4,8,-0.010451991111040115,0.09785588085651398,-0.054153935983777046,0.054153935983777046
40,17,23,0.12895946204662323,0.023910081014037132,0.05252469051629305,0.05252469051629305
40,23,27,-0.01834593527019024,0.08369745314121246,-0.05102169420570135,0.05102169420570135
40,6,8,-0.06511621177196503,0.036563895642757416,-0.05084005370736122,0.05084005370736122
40,11,13,0.053230512887239456,-0.04714898020029068,0.05018974654376507,0.05018974654376507
