rank_position,factor,top_source_stocks,top_source_weights,top_receiver_stocks,top_receiver_weights
19,23,"sz000671,sh600823,sz002038,sz002945,sz002194,sh600190,sh601788,sh600340","0.004139,0.003785,0.003703,0.003203,0.003200,0.003182,0.003162,0.003162","sz002241,sz300433,sz000661,sh603799,sz300122,sz300003,sz300059,sz002120","0.021425,0.021098,0.020612,0.020408,0.019668,0.019258,0.017987,0.017529"
20,25,"sz300059,sz000728,sh600030,sh600999,sh600958,sh601236,sh600779,sh601888","0.001590,0.001468,0.001399,0.001350,0.001278,0.001141,0.001103,0.001082","sz002028,sh603699,sh601288,sz002422,sh601899,sh600060,sh601088,sh601328","0.705920,0.703411,0.697348,0.691224,0.685305,0.678565,0.675459,0.672560"
21,29,"sz000776,sh600216,sz000858,sh600999,sz000876,sz002299,sh600104,sh600848","0.003370,0.003357,0.003098,0.002995,0.002835,0.002710,0.002591,0.002570","sz002400,sz000826,sz000536,sz000829,sh603000,sz002310,sz300072,sz000671","0.008867,0.008113,0.008079,0.007542,0.007277,0.007116,0.007054,0.007052"
22,19,"sz002194,sh601928,sh600598,sh600006,sh600737,sh600508,sh600928,sz002456","0.004943,0.004831,0.004475,0.004398,0.004170,0.003899,0.003521,0.003304","sh600118,sz002945,sh600006,sh601878,sz000712,sh601236,sz000897,sz000767","0.016386,0.015479,0.014419,0.013341,0.013268,0.013083,0.012707,0.012282"
23,4,"sh601258,sh600022,sh601328,sh601077,sh601288,sh600016,sh601992,sh600008","0.993916,0.987500,0.985772,0.985014,0.984488,0.983759,0.983708,0.983566","sz000671,sz002085,sz300027,sz000631,sh601566,sh600508,sh601881,sz002945","0.001840,0.001499,0.001469,0.001282,0.001262,0.001231,0.001221,0.001199"
24,31,"sh600500,sh600999,sz000001,sz000858,sz002081,sz000157,sh600216,sh600997","0.001662,0.001561,0.001540,0.001487,0.001438,0.001437,0.001420,0.001416","sz002945,sh601969,sh601236,sz000712,sh601066,sz300027,sh601788,sh600783","0.006436,0.006032,0.005350,0.005230,0.005163,0.005000,0.004874,0.004860"
25,6,"sz000667,sz000652,sz000876,sh600871,sh600169,sh600216,sh600688,sh600308","0.001682,0.001638,0.001529,0.001444,0.001376,0.001351,0.001332,0.001326","sz000667,sz000671,sh601258,sh600157,sh601016,sh601005,sh601992,sh600307","0.473148,0.459360,0.450184,0.448864,0.439041,0.432853,0.432251,0.423887"
26,8,"sz000651,sz000667,sh600705,sz300003,sz000829,sz300182,sh601066,sz002069","0.004051,0.003797,0.003714,0.003526,0.003467,0.003370,0.003252,0.003217","sz300027,sz300033,sz300133,sh601168,sz300002,sz300072,sh600325,sz002344","0.009745,0.008603,0.008412,0.008408,0.008320,0.008261,0.008059,0.008056"
27,12,"sz000776,sz000831,sh600597,sz000800,sh600259,sz002945,sh601727,sz000876","0.016516,0.015835,0.015667,0.014855,0.014176,0.013107,0.012769,0.012764","sz300085,sz002945,sz002155,sh600895,sz002074,sz300002,sz000540,sz002292","0.006667,0.005844,0.005418,0.005321,0.005236,0.005144,0.005099,0.005049"
28,10,"sh600030,sh600999,sz000776,sz002736,sh601699,sz002673,sh600216,sz300059","0.001932,0.001931,0.001910,0.001584,0.001577,0.001490,0.001485,0.001460","sz000712,sh601969,sz300033,sz002945,sz300251,sz300085,sh600501,sz002466","0.002502,0.002093,0.002080,0.002011,0.001891,0.001849,0.001833,0.001822"
29,14,"sh600999,sh601600,sh600597,sz000623,sh600909,sh601901,sz300296,sh600874","0.002707,0.001755,0.001754,0.001698,0.001466,0.001454,0.001385,0.001370","sz300144,sz000538,sh600508,sh600196,sh601163,sh600216,sh600251,sh600362","0.004215,0.004150,0.004146,0.004128,0.004114,0.004041,0.004009,0.003876"
30,15,"sh600190,sh600501,sh600246,sz000755,sz002603,sz000631,sz000671,sz000046","0.007306,0.006218,0.006029,0.005726,0.004628,0.003612,0.003602,0.003462","sz002411,sh600190,sh600246,sz000826,sz000627,sh600811,sz000046,sh600823","0.015106,0.015019,0.011792,0.008525,0.008304,0.007953,0.007867,0.007416"
31,17,"sh601369,sh601360,sz300024,sz000667,sz000536,sz300017,sz300124,sh600158","0.003410,0.003312,0.002884,0.002855,0.002366,0.002337,0.002074,0.002072","sz002411,sz000046,sh600804,sz000540,sz000671,sh600246,sh600811,sh600277","0.089821,0.085809,0.077628,0.065297,0.063998,0.061297,0.060568,0.050879"
