,receiver_00,receiver_01,receiver_02,receiver_03,receiver_04,receiver_05,receiver_06,receiver_07,receiver_08,receiver_09,receiver_10,receiver_11,receiver_12,receiver_13,receiver_14,receiver_15,receiver_16,receiver_17,receiver_18,receiver_19,receiver_20,receiver_21,receiver_22,receiver_23,receiver_24,receiver_25,receiver_26,receiver_27,receiver_28,receiver_29,receiver_30,receiver_31
source_00,0.9343709349632263,-0.008042237721383572,0.0557561032474041,-0.06946471333503723,-0.03976351395249367,-0.1215347871184349,-0.1337781399488449,0.01248503290116787,-0.12293539196252823,0.03603711351752281,0.03859313204884529,-0.08776986598968506,-0.008497527800500393,-0.013887381181120872,0.03222256153821945,-0.014183803461492062,-0.0026399402413517237,-0.10778004676103592,-0.06935770064592361,0.08289851993322372,-0.18811045587062836,-0.06258508563041687,-0.023124337196350098,-0.00040891466778703034,0.029165221378207207,0.02617313340306282,0.04281418025493622,-0.028848515823483467,0.0032744063064455986,0.046099402010440826,0.011519304476678371,0.014456560835242271
source_01,-0.038391608744859695,1.0128875970840454,0.06542015820741653,-0.05092437565326691,-0.022172631695866585,0.020054735243320465,-0.08493555337190628,0.05995088443160057,-0.05177151784300804,0.05633632093667984,0.022425411269068718,0.054265715181827545,0.039529502391815186,-0.016811566427350044,0.10744187980890274,0.003352176630869508,0.05104472488164902,-0.010975864715874195,0.04729721322655678,0.07893530279397964,0.02438877709209919,-0.039033714681863785,-0.03275769576430321,0.012890530750155449,0.05508699268102646,0.03107450343668461,0.09135638177394867,-0.009825993329286575,0.027780869975686073,-0.008458987809717655,-0.025020258501172066,0.05787024274468422
source_02,-0.12702247500419617,0.06651053577661514,1.0738528966903687,-0.014179181307554245,0.0071942005306482315,0.016614358872175217,-0.06655311584472656,0.02796533703804016,-0.010458892211318016,0.05534077063202858,0.1325731873512268,0.021335244178771973,0.05650458112359047,0.055715471506118774,0.1034909188747406,0.043847132474184036,-0.008554540574550629,-0.04425366222858429,0.0014767692191526294,-0.025947077199816704,0.025806233286857605,-0.006418932694941759,0.0046601612120866776,0.004655217286199331,0.06813438981771469,0.05287754908204079,0.02591167762875557,-0.022952619940042496,0.09481782466173172,0.05568840727210045,0.03295884281396866,0.03794460743665695
source_03,0.04081467166543007,0.03531059995293617,-0.014274920336902142,0.9746270179748535,0.02840462140738964,0.08568999171257019,0.043569982051849365,0.00287264259532094,0.059757668524980545,-0.04058212786912918,0.013064809143543243,0.12092412263154984,0.036852724850177765,0.03823349252343178,0.032004427164793015,-0.03131461888551712,-0.04796897619962692,0.025338932871818542,-0.05196911469101906,-0.024246569722890854,0.042849887162446976,-0.017333533614873886,-0.03842119127511978,0.029577704146504402,0.0016220996621996164,0.09596104919910431,0.05510778725147247,-0.01825101673603058,0.05040626972913742,0.012124999426305294,-0.035418298095464706,-0.11962022632360458
source_04,-0.04768434166908264,0.0020399673376232386,0.037678446620702744,-0.12589550018310547,1.022955060005188,-0.034152381122112274,-0.10644346475601196,0.054368291050195694,-0.07805926352739334,0.03850836679339409,0.008369086310267448,0.04485669359564781,0.04087317734956741,0.1459629088640213,-0.003924851771444082,0.051289770752191544,0.027474135160446167,-0.05375738814473152,-0.022137364372611046,0.07115045934915543,-0.0807175561785698,-0.07018808275461197,-0.048030007630586624,0.02984609082341194,0.07855033129453659,0.01058338861912489,0.04818320646882057,-0.03584190458059311,-0.0012907511554658413,0.02617214247584343,-0.06537878513336182,0.10163219273090363
source_05,-0.027458537369966507,0.05498914048075676,0.09604381024837494,-0.004236551932990551,0.011814126744866371,1.0007309913635254,-0.05838175490498543,0.06486741453409195,-0.005129125900566578,0.05768963322043419,-0.0012572879204526544,0.07319261133670807,0.056154754012823105,0.05657804012298584,0.06922044605016708,0.019178422167897224,0.006795311812311411,0.010514669120311737,-0.009063096717000008,0.04270905628800392,0.03903480991721153,-0.017785126343369484,-0.05832365155220032,-0.011884205043315887,0.049142349511384964,0.0901612937450409,0.1153489351272583,-0.00272700609639287,0.025035357102751732,0.042554035782814026,0.004388262052088976,0.05250972509384155
source_06,-0.019490588456392288,0.016456739977002144,0.012899097986519337,-0.024269305169582367,-0.026757922023534775,0.029719149693846703,0.9531490802764893,0.03220535069704056,0.003979024477303028,0.03579774126410484,-0.005405975040048361,0.020721372216939926,-0.025671623647212982,0.019021108746528625,0.06649521738290787,-0.008287165313959122,0.03909209743142128,-0.008997946977615356,-0.036551643162965775,0.04453189671039581,0.07177001982927322,-0.043427467346191406,-0.04422571882605553,0.050465475767850876,0.02469303086400032,0.07276339083909988,0.04710241034626961,-0.009316413663327694,0.0028884713537991047,0.0005805852124467492,-0.04527590051293373,-0.04362756386399269
source_07,-0.004598336294293404,0.010383433662354946,0.035905592143535614,-0.049302779138088226,-0.010575310327112675,0.003169445553794503,-0.021597443148493767,1.0600205659866333,-0.061905406415462494,0.05458834022283554,0.0020150775089859962,-0.04683736339211464,0.05360038951039314,-0.03130948171019554,0.06723137944936752,0.026154885068535805,0.01910369098186493,-0.006350312381982803,0.028141699731349945,0.0843573585152626,-0.06347944587469101,-0.06129875406622887,-0.01696086674928665,0.14575892686843872,0.10866622626781464,0.025458745658397675,0.0684410035610199,0.0331769622862339,0.0385560505092144,-0.010480779223144054,-0.019257795065641403,0.11576741188764572
source_08,-0.0413665696978569,0.017912618815898895,0.06362514942884445,0.05741088092327118,-0.04664164036512375,-0.04416578635573387,-0.008933640085160732,0.008079884573817253,0.9691058993339539,0.007459285669028759,0.0915587916970253,-0.05586141347885132,-0.011492920108139515,-0.036432500928640366,0.02263263240456581,0.028675822541117668,-0.05368971452116966,-0.039255011826753616,-0.018279334530234337,0.02578977681696415,-0.10463210195302963,-0.0845719501376152,-0.00637311115860939,-0.018684858456254005,0.018822450190782547,0.019721899181604385,0.02527765743434429,-0.03496873378753662,0.04979751259088516,0.05887950211763382,0.005214689765125513,-0.06430797278881073
source_09,-0.07544762641191483,-0.09881962090730667,-0.031411223113536835,-0.12021415680646896,-0.004451492801308632,-0.14721333980560303,-0.1419924646615982,0.006093740463256836,-0.09569766372442245,0.940975546836853,-0.06904800236225128,-0.09670528024435043,0.0058076572604477406,0.00431411899626255,-0.026579508557915688,-0.0536888986825943,-0.04847714304924011,-0.10345535725355148,-0.07553671300411224,0.011749777011573315,-0.0882212370634079,-0.086638905107975,-0.1422060877084732,-0.023968985304236412,0.0024656124878674746,-0.0473012737929821,-0.019522635266184807,-0.04806329682469368,0.017711563035845757,0.029728299006819725,-0.030602622777223587,0.029214709997177124
