model,count,IC_mean_mean,IC_mean_std,IC_mean_min,IC_mean_max,ICIR_mean,ICIR_std,ICIR_min,ICIR_max,RankIC_mean_mean,RankIC_mean_std,RankIC_mean_min,RankIC_mean_max,RankICIR_mean,RankICIR_std,RankICIR_min,RankICIR_max
HIST dataproc-aligned,10,0.032475729917826046,0.0020215135186438912,0.029254386237566942,0.0351651999503435,0.2774938206497281,0.02560375608965967,0.22338555829964335,0.31273435560746365,0.018202308600202662,0.0022289533010875764,0.014328019980871213,0.021810105155295897,0.15875015740554427,0.025715040961406678,0.10754844937019128,0.19694297572962358
MASTER sampler-fixed,10,0.017470095963407414,0.001403585722149515,0.014796444495211857,0.01966655012122894,0.11909312420441544,0.010472265187819409,0.10168777347565229,0.13380009004489055,0.040219880568398425,0.0044067552954467504,0.03421257413390603,0.04831025455762154,0.24990867491039936,0.031129380387538576,0.2051003711046505,0.3024530315427288
