model,prefix,seed,IC_mean,ICIR,RankIC_mean,RankICIR,n_days,recorder_id
HIST dataproc-aligned,hist_dataproc,512,0.03232968683358636,0.2633874728457258,0.018621089501800196,0.15064298757522826,899,42a88a38bde54f45aff74e6e2fe662e6
HIST dataproc-aligned,hist_dataproc,23,0.031038129956672787,0.2690843271779417,0.01926255662164838,0.1755906243237192,899,635077ad4fac440c90648792c52f409a
HIST dataproc-aligned,hist_dataproc,37,0.035164514218375034,0.29203225022550894,0.01910333996443791,0.16356418811601728,899,bf695d7b21d54d04bfb98860529e9906
HIST dataproc-aligned,hist_dataproc,5,0.03422321743910508,0.2828509027953702,0.01866641194532789,0.15462177610780561,899,f89ecc0f0d714864b26f4714638983cc
HIST dataproc-aligned,hist_dataproc,40,0.03179642680166223,0.29603653191841656,0.01759691135486853,0.16852666797370522,899,b31b5676ad454731a61bacd7c16db63d
HIST dataproc-aligned,hist_dataproc,55,0.033723887874882855,0.2980527965331087,0.015211626826840165,0.13511353759134964,899,50a9e4dbd56f490d89a8dd25e5550a5a
HIST dataproc-aligned,hist_dataproc,25,0.03256214913578985,0.29053337129512724,0.020890962598911544,0.19332338440487157,899,5aa9dc3299224084a77296506eddadf1
HIST dataproc-aligned,hist_dataproc,49,0.029254386237566942,0.24684063979897508,0.016532062052024902,0.14162698286293113,899,14be45545f934e93b6afd45ef97f5940
HIST dataproc-aligned,hist_dataproc,17,0.0351651999503435,0.31273435560746365,0.021810105155295897,0.19694297572962358,899,742c05a4b30a41b089c227484fff54e8
HIST dataproc-aligned,hist_dataproc,79,0.029499700730275788,0.22338555829964335,0.014328019980871213,0.10754844937019128,899,8215d4aa879942a5b8b4bb4462eda200
MASTER sampler-fixed,master_samplerfixed,512,0.018393975264853202,0.12763912975042677,0.042096355812270864,0.26499085337342126,899,37522e98f6bc4b46a31273b56bc86057
MASTER sampler-fixed,master_samplerfixed,23,0.017783753808061308,0.13096394436715456,0.0401942867727553,0.26940009495303346,899,301a9337471e45a1b0be2d76fb6721ee
MASTER sampler-fixed,master_samplerfixed,37,0.017046946946679322,0.113021158663779,0.03848653073911601,0.23537103620317637,899,03641bd44fb14131bbc3975d507f7279
MASTER sampler-fixed,master_samplerfixed,5,0.01683772763785026,0.11281693404400124,0.03421257413390603,0.2051003711046505,899,b169379cf3bc4d9e8dc4722e45564e50
MASTER sampler-fixed,master_samplerfixed,40,0.01821923327983058,0.12365256192846637,0.04199839286860668,0.2569813833241635,899,d6199362276d40349a19daf77303f17e
MASTER sampler-fixed,master_samplerfixed,55,0.017670957951539945,0.11823229826745825,0.037712851794008816,0.22714022825346514,899,472417ba2a1d4485b53eccfbea7deef6
MASTER sampler-fixed,master_samplerfixed,25,0.014796444495211857,0.10168777347565229,0.03713384232001646,0.23335365394144642,899,7ec3c7342fc44bdcb127220817210e77
MASTER sampler-fixed,master_samplerfixed,49,0.015502429184059365,0.10396196745029326,0.03528872420197294,0.21183405835326835,899,062ca091ecba4ae283212d371c26daea
MASTER sampler-fixed,master_samplerfixed,17,0.01966655012122894,0.13380009004489055,0.04676499248370961,0.2924620380546398,899,f5740d460f2b451ea748dc8ef94cd998
MASTER sampler-fixed,master_samplerfixed,79,0.01878294094475938,0.12515538405203208,0.04831025455762154,0.3024530315427288,899,9f5418a550814051ab1418e6f132f2ff
