experiment,target,variant,IC_mean,IC_mean,ICIR,ICIR,RankIC_mean,RankIC_mean,RankICIR,RankICIR,sharpe,sharpe,B_cosine_vs_target,B_cosine_vs_target,B_l2_delta_vs_target,B_l2_delta_vs_target,B_asym_ratio,B_asym_ratio
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
cross_index_official,csi100_official,csi300_B_to_target,0.030166222903575884,0.004806700812283849,0.16749213014765207,0.03018646478180541,0.036950405733906455,0.005366880684571514,0.21545991995751215,0.029829583226621135,0.883982048629629,0.0882544199386633,0.9604109300328257,0.019822091076130116,1.5985917925834656,0.4740814221335549,0.16558036049920663,0.04126219895711103
cross_index_official,csi100_official,own_B,0.03034397757019302,0.0042843442640498825,0.16563346729270978,0.0275494825380228,0.03791875071829738,0.004247901405444251,0.2188941718247459,0.020994981072600484,0.8905861427740275,0.09476126697702526,0.9999999996047452,1.1248229499149535e-07,0.0,0.0,0.12108467600896225,0.036465574485476986
cross_index_official,csi500_official,csi300_B_to_target,0.03849864958163189,0.00665526349009145,0.36918804661269145,0.07074806486852572,0.037864941146528185,0.005507043540985115,0.3629599198388399,0.05495284538306172,1.0833114858106794,0.18845866318172447,0.9436324382442193,0.01789734554226433,1.9665366411209106,0.34147669797555635,0.16558036049920663,0.04126219895711103
cross_index_official,csi500_official,own_B,0.041127750486702405,0.003798709687891091,0.3745873470145576,0.04121334624076968,0.04098719482296158,0.0037858086171651496,0.3770096557792245,0.04393264311385174,1.1600739475691042,0.18362737109817232,0.9999999497634896,1.140000382438788e-07,0.0,0.0,0.17762939769908734,0.03436327303987774
cross_period_recent,csi300_recent,official_B_to_recent,0.04072620769301825,0.0013776915814657973,0.34884550310175594,0.023851490687913125,0.0178963022682701,0.004850114395835396,0.15386559567684124,0.048443205033080354,1.080487761912583,0.11791832740148392,0.9558670154891391,0.018099189343140355,1.7149452567100525,0.38975577504571857,0.16558036049920663,0.04126219895711103
cross_period_recent,csi300_recent,own_B,0.042899960593263106,0.001120426069755719,0.3590146207381434,0.021634843826898342,0.02114697642796639,0.004688356599862167,0.17634617309402684,0.0441251274461287,1.1427478404970863,0.07567772006248423,0.9999999635281707,1.022751458503959e-07,0.0,0.0,0.14255683273988168,0.028338399401748576
