experiment,target,seed,variant,IC_mean,ICIR,RankIC_mean,RankICIR,sharpe,B_cosine_vs_target,B_l2_delta_vs_target,B_asym_ratio,n_test_days,test_split
cross_period_recent,csi300_recent,512,own_B,0.045676716947675916,0.3500315654475926,0.02779906391575631,0.22048956467432201,1.0829621649138421,0.9999999059459306,0.0,0.20240391436022429,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,512,official_B_to_recent,0.04078724039975865,0.3534359726532921,0.017836145146424343,0.16340809489697788,0.987306564472476,0.9259540228815124,2.2898917198181152,0.19949114604932386,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,23,own_B,0.043555990959123256,0.3359518566953775,0.013484832930024396,0.10027108889974588,1.0581266680145918,0.9999999362715263,0.0,0.12424185925322832,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,23,official_B_to_recent,0.040909997691149114,0.3229448331512054,0.009043522321326547,0.06805897079960815,0.9145791730815082,0.9537542394819085,1.7924119234085083,0.1873236488800364,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,37,own_B,0.043249146039566894,0.36159136000454606,0.025994318491986697,0.20121204309537857,1.1253439519368968,0.9999999667927484,0.0,0.17736693113340019,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,37,official_B_to_recent,0.03935771608045581,0.34247795499455547,0.02260704569729729,0.17719604924477353,1.1362340532637472,0.9503775327440638,1.8659677505493164,0.16125877488138035,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,5,own_B,0.043116085074382915,0.38596061347758,0.021301189622375365,0.18178952879076,1.2645419436033332,0.9999999085092319,0.0,0.110939985879729,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,5,official_B_to_recent,0.042437203051012486,0.3864314437242325,0.02033864533768872,0.17898349419880752,1.2142631053556436,0.9855974941973389,0.9780046939849854,0.07246697239284283,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,40,own_B,0.04256838619310029,0.3926289789719908,0.017288807054660717,0.15285479611172098,1.15864043894161,1.0000000922278036,0.0,0.12317247532555183,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,40,official_B_to_recent,0.039074715730402304,0.35536057330142645,0.011463336348901197,0.09925844994326948,0.968014429590049,0.9305936548337271,2.223188877105713,0.22794244905479905,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,55,own_B,0.042439801555570866,0.34768364255329337,0.017277205003824007,0.13935251852115013,1.1748598610376952,0.9999999673231761,0.0,0.13816701345626156,899,2022-01-01..2025-09-17
